Sample,Cook's Distance
7Networks_LH_Default_PFC_3 L,0.0833674876882255
7Networks_LH_Vis_1 L,0.053573223174456584
7Networks_LH_Vis_4 L,0.03421027802165443
Right nucleus accumbens R,0.026292057472021693
7Networks_LH_Limbic_TempPole_1 L,0.0251754650253126
7Networks_LH_SalVentAttn_Med_3 L,0.022911270069038408
7Networks_RH_SalVentAttn_Med_2 R,0.02283607981908747
7Networks_RH_Cont_PFCmp_1 R,0.021115963104176363
Right hippocampus R,0.017556138975379852
7Networks_LH_DorsAttn_Post_3 L,0.016690944124680817
7Networks_LH_Default_PFC_2 L,0.014923563342688902
Left substantia nigra L,0.014709209448028905
7Networks_LH_Default_PFC_5 L,0.014330372061806162
7Networks_RH_Vis_5 R,0.013423778594229172
7Networks_RH_Default_Temp_2 R,0.013035749233580264
7Networks_LH_Cont_Par_1 L,0.012865719824114072
Left thalamus L,0.012584064031345666
7Networks_RH_Vis_3 R,0.012435850987597396
7Networks_RH_DorsAttn_FEF_2 R,0.012009407920507791
