id,values,labels
45,0.08372762723975946,7Networks_LH_Default_PFC_4
2,0.052872987934412495,7Networks_LH_Vis_2
5,0.03360299571835645,7Networks_LH_Vis_5
121,0.02548135584681636,Left amygdala
33,0.024375592364839365,7Networks_LH_Limbic_TempPole_2
31,0.02269982456516519,7Networks_LH_Limbic_OFC_1
79,0.022619599634790623,7Networks_RH_Limbic_OFC_1
88,0.020693065832711133,7Networks_RH_Cont_PFCmp_2
119,0.020378184317188193,Left nucleus accumbens
19,0.016784222633119825,7Networks_LH_DorsAttn_Post_4
104,0.01494767805349577,Right substantia nigra
44,0.014910181931071109,7Networks_LH_Default_PFC_3
47,0.014438499993590684,7Networks_LH_Default_PFC_6
56,0.013521762151550074,7Networks_RH_Vis_6
93,0.013070242589114673,7Networks_RH_Default_Temp_3
35,0.012953944821628935,7Networks_LH_Cont_PFCl_1
116,0.012537596103008372,Right thalamus
54,0.012158307824574981,7Networks_RH_Vis_4
74,0.012101409270336486,7Networks_RH_SalVentAttn_TempOccPar_1
83,0.01145900554372473,7Networks_RH_Cont_PFCl_1
8,0.011129107533285193,7Networks_LH_Vis_8
110,0.009703520245284829,Right putamen
98,0.009290712672323611,7Networks_RH_Default_PFCm_3
96,0.008386662313050538,7Networks_RH_Default_PFCm_1
43,0.008174582808312328,7Networks_LH_Default_PFC_2
118,0.007910560951049939,Right hippocampus
61,0.007762328329884362,7Networks_RH_SomMot_3
39,0.007555223354991872,7Networks_LH_Default_Temp_2
36,0.007542566660843543,7Networks_LH_Cont_pCun_1
117,0.007239528439926654,Left hippocampus
99,0.007176619968907687,7Networks_RH_Default_PCC_1
108,0.0069703515549907795,Right caudate
42,0.006940147916976917,7Networks_LH_Default_PFC_1
46,0.006303788135605519,7Networks_LH_Default_PFC_5
32,0.005915397727529918,7Networks_LH_Limbic_TempPole_1
95,0.005693375684227324,7Networks_RH_Default_PFCv_2
94,0.005527498223091534,7Networks_RH_Default_PFCv_1
50,0.00550757969294866,7Networks_LH_Default_PCC_2
62,0.005453450570069029,7Networks_RH_SomMot_4
76,0.005046177540245207,7Networks_RH_SalVentAttn_FrOper_1
84,0.00503665461961853,7Networks_RH_Cont_PFCl_2
34,0.0050178313507879034,7Networks_LH_Cont_Par_1
109,0.004820574201531143,Left putamen
78,0.004686118243322389,7Networks_RH_SalVentAttn_Med_2
25,0.004578527376694577,7Networks_LH_SalVentAttn_FrOper_1
67,0.004517298127642208,7Networks_RH_DorsAttn_Post_1
28,0.004377960719718616,7Networks_LH_SalVentAttn_Med_1
86,0.004359252598838494,7Networks_RH_Cont_PFCl_4
53,0.004230240341912314,7Networks_RH_Vis_3
107,0.003845236012527463,Left caudate
115,0.003831933467597937,Left thalamus
106,0.0036631924749768357,Right subthalamic nucleus
113,0.0036511311029007445,Left globus pallidus interna
105,0.003427732920283212,Left subthalamic nucleus
16,0.0033973463289402954,7Networks_LH_DorsAttn_Post_1
75,0.0033912120111735866,7Networks_RH_SalVentAttn_TempOccPar_2
81,0.003059024030589577,7Networks_RH_Cont_Par_1
51,0.0026848503944893127,7Networks_RH_Vis_1
21,0.0025734193264063425,7Networks_LH_DorsAttn_Post_6
41,0.002522691925301662,7Networks_LH_Default_Temp_4
22,0.002466406018251929,7Networks_LH_DorsAttn_FEF_1
