Sample,Cook's Distance
Right hippocampus R,0.073145735650767
7Networks_LH_Default_PFC_3 L,0.06220094926187374
7Networks_RH_Cont_PFCmp_1 R,0.039298255054736844
7Networks_RH_Default_PCC_2 R,0.03829770380558271
Left thalamus L,0.0360579520242694
Right globus pallidus interna R,0.03441816822245929
Left putamen L,0.03274072897295019
Right nucleus accumbens R,0.02958576908551611
Left nucleus accumbens L,0.027546871360985353
7Networks_LH_SalVentAttn_PFCl_1 L,0.02548103519310029
7Networks_LH_Limbic_TempPole_1 L,0.02237266857059178
Left red nucleus L,0.01890205919005142
7Networks_RH_Cont_Par_2 R,0.018292423533260938
7Networks_RH_Vis_3 R,0.01682147569519761
7Networks_LH_Vis_5 L,0.016006073431477957
7Networks_LH_Limbic_OFC_1 L,0.0157928531579584
7Networks_LH_DorsAttn_Post_3 L,0.015240770686919874
7Networks_RH_Vis_5 R,0.014910779151710424
7Networks_RH_DorsAttn_FEF_2 R,0.014754642429511262
