Sample,Cook's Distance
Left hippocampus L,0.06369390619355844
Left amygdala L,0.04907423695161258
Right nucleus accumbens R,0.04239909145807245
7Networks_LH_Default_PFC_3 L,0.029856015574066662
Left substantia nigra L,0.029743789768747208
7Networks_LH_Vis_7 L,0.02355207295945098
7Networks_RH_Vis_6 R,0.01871545732794515
Right red nucleus R,0.017702500964841474
7Networks_LH_Vis_4 L,0.017124146784412878
7Networks_RH_Vis_3 R,0.017033741849256948
Left globus pallidus externa L,0.015852618685947728
Right thalamus R,0.015222440696605877
7Networks_RH_Default_PFCv_2 R,0.013981232743105238
7Networks_LH_DorsAttn_Post_3 L,0.013743208532792373
7Networks_LH_Vis_5 L,0.012823560792641676
7Networks_RH_Cont_PFCmp_2 R,0.012611085053717228
7Networks_LH_Cont_pCun_1 L,0.012228316233377312
7Networks_LH_DorsAttn_Post_4 L,0.011244164446685762
7Networks_RH_Default_Temp_3 R,0.011219892522104464
