id,values,labels
118,0.06388004638281027,Right hippocampus
122,0.04928630998490099,Right amygdala
121,0.042468614437212025,Left amygdala
45,0.029743723134268894,7Networks_LH_Default_PFC_4
104,0.029736366338954538,Right substantia nigra
8,0.02375288096316866,7Networks_LH_Vis_8
57,0.018845698986318687,7Networks_RH_Vis_7
103,0.01774568336399021,Left substantia nigra
5,0.01741091776005018,7Networks_LH_Vis_5
54,0.017306924060589996,7Networks_RH_Vis_4
112,0.01608759632841177,Right globus pallidus externa
117,0.015444762668273297,Left hippocampus
19,0.0138403878394317,7Networks_LH_DorsAttn_Post_4
96,0.013728485655695873,7Networks_RH_Default_PFCm_1
6,0.012803123491575686,7Networks_LH_Vis_6
89,0.012650358075752622,7Networks_RH_Cont_PFCmp_3
37,0.012295829800358598,7Networks_LH_Cont_Cing_1
20,0.011297041992527554,7Networks_LH_DorsAttn_Post_5
35,0.011201928820174303,7Networks_LH_Cont_PFCl_1
94,0.01096453350081261,7Networks_RH_Default_PFCv_1
83,0.010756859963661151,7Networks_RH_Cont_PFCl_1
44,0.010579353229730158,7Networks_LH_Default_PFC_3
65,0.010379215009575667,7Networks_RH_SomMot_7
32,0.010288053316673334,7Networks_LH_Limbic_TempPole_1
33,0.009871330176257076,7Networks_LH_Limbic_TempPole_2
42,0.009867874105150875,7Networks_LH_Default_PFC_1
110,0.009297787078778841,Right putamen
21,0.009208388946500489,7Networks_LH_DorsAttn_Post_6
87,0.008701067636126535,7Networks_RH_Cont_PFCmp_1
74,0.008236182370143823,7Networks_RH_SalVentAttn_TempOccPar_1
58,0.0081927270742986,7Networks_RH_Vis_8
84,0.0076588620329297065,7Networks_RH_Cont_PFCl_2
43,0.007625647383746414,7Networks_LH_Default_PFC_2
26,0.0075977203255214645,7Networks_LH_SalVentAttn_FrOper_2
3,0.007468876274769457,7Networks_LH_Vis_3
67,0.007462459029961613,7Networks_RH_DorsAttn_Post_1
120,0.007145469173837772,Right nucleus accumbens
31,0.0068659728235778835,7Networks_LH_Limbic_OFC_1
80,0.006602467728268131,7Networks_RH_Limbic_TempPole_1
53,0.006530078958266842,7Networks_RH_Vis_3
69,0.006471075998340574,7Networks_RH_DorsAttn_Post_3
71,0.0064000364835919855,7Networks_RH_DorsAttn_Post_5
114,0.006035531018678427,Right globus pallidus interna
102,0.005941559687173743,Right red nucleus
27,0.005433586427777255,7Networks_LH_SalVentAttn_PFCl_1
72,0.005089211255362731,7Networks_RH_DorsAttn_FEF_1
113,0.005047398021874381,Left globus pallidus interna
95,0.004728819690137098,7Networks_RH_Default_PFCv_2
56,0.0046890676241938,7Networks_RH_Vis_6
14,0.004629839099238506,7Networks_LH_SomMot_5
99,0.0045650238725427296,7Networks_RH_Default_PCC_1
106,0.004020980624762386,Right subthalamic nucleus
36,0.003935113379578011,7Networks_LH_Cont_pCun_1
4,0.003901365292928287,7Networks_LH_Vis_4
9,0.003843628940036645,7Networks_LH_Vis_9
98,0.003784419396480905,7Networks_RH_Default_PFCm_3
34,0.003732971084299457,7Networks_LH_Cont_Par_1
46,0.003529588310056027,7Networks_LH_Default_PFC_5
88,0.0034596574446293274,7Networks_RH_Cont_PFCmp_2
75,0.0033635169355374413,7Networks_RH_SalVentAttn_TempOccPar_2
60,0.002944757150724375,7Networks_RH_SomMot_2
47,0.0028819498792694727,7Networks_LH_Default_PFC_6
91,0.002854228337069709,7Networks_RH_Default_Temp_1
22,0.002750202493624864,7Networks_LH_DorsAttn_FEF_1
51,0.002644098339430781,7Networks_RH_Vis_1
70,0.002527496814496166,7Networks_RH_DorsAttn_Post_4
55,0.0024425449124731266,7Networks_RH_Vis_5
18,0.002316406460097106,7Networks_LH_DorsAttn_Post_3
2,0.002213635792964059,7Networks_LH_Vis_2
100,0.0021353034283391422,7Networks_RH_Default_PCC_2
119,0.002071956684729749,Left nucleus accumbens
15,0.0018652587834847723,7Networks_LH_SomMot_6
66,0.0018618005742394824,7Networks_RH_SomMot_8
64,0.001672768598085338,7Networks_RH_SomMot_6
61,0.0016066020488844273,7Networks_RH_SomMot_3
59,0.0015454313375306604,7Networks_RH_SomMot_1
