Sample,Cook's Distance
Right hippocampus R,0.07282124646943618
Left substantia nigra L,0.058783504212042106
Right nucleus accumbens R,0.05794291835430428
7Networks_LH_Default_PFC_3 L,0.041954773911694374
Left nucleus accumbens L,0.03648963046849258
7Networks_RH_Cont_Par_2 R,0.02693494878603186
7Networks_LH_SalVentAttn_ParOper_1 L,0.024807804258421693
Left globus pallidus interna L,0.02476587815005867
Right red nucleus R,0.024195577448001618
7Networks_LH_Vis_1 L,0.02314129262677425
7Networks_LH_SalVentAttn_Med_3 L,0.02297746400541738
Right thalamus R,0.02259300585561061
7Networks_LH_Vis_4 L,0.022461236673193427
7Networks_LH_DorsAttn_Post_3 L,0.020286745753334733
7Networks_RH_Default_Temp_3 R,0.01737772359318488
7Networks_RH_Vis_6 R,0.016879458410781235
Left globus pallidus externa L,0.015719660573434456
Left putamen L,0.01420023965182311
Right globus pallidus externa R,0.01384354784588992
