id,values,labels
119,0.06873044539855162,Left nucleus accumbens
104,0.05931840247676999,Right substantia nigra
121,0.057197366885023665,Left amygdala
45,0.04214689098947771,7Networks_LH_Default_PFC_4
120,0.03427134048090679,Right nucleus accumbens
83,0.026895278417479233,7Networks_RH_Cont_PFCl_1
114,0.02492117569551107,Right globus pallidus interna
103,0.024391959199111336,Left substantia nigra
25,0.02434780800849261,7Networks_LH_SalVentAttn_FrOper_1
2,0.022988950411000453,7Networks_LH_Vis_2
31,0.022629454523393006,7Networks_LH_Limbic_OFC_1
5,0.02232016445183733,7Networks_LH_Vis_5
117,0.021960620364600995,Left hippocampus
19,0.020454050236239432,7Networks_LH_DorsAttn_Post_4
94,0.01721040593483744,7Networks_RH_Default_PFCv_1
57,0.01697169686584462,7Networks_RH_Vis_7
112,0.015741053861641104,Right globus pallidus externa
110,0.014128568905206662,Right putamen
113,0.013946008218493868,Left globus pallidus interna
44,0.013161277109030084,7Networks_LH_Default_PFC_3
79,0.013034461144895093,7Networks_RH_Limbic_OFC_1
8,0.012769163495874517,7Networks_LH_Vis_8
36,0.012500673499081315,7Networks_LH_Cont_pCun_1
102,0.012473872887163527,Right red nucleus
75,0.012423406565399607,7Networks_RH_SalVentAttn_TempOccPar_2
109,0.011786490737248299,Left putamen
84,0.01061016774737956,7Networks_RH_Cont_PFCl_2
54,0.00998892696524021,7Networks_RH_Vis_4
9,0.009720761443908417,7Networks_LH_Vis_9
72,0.009422492528851266,7Networks_RH_DorsAttn_FEF_1
96,0.00932071288937751,7Networks_RH_Default_PFCm_1
111,0.009048585116220139,Left globus pallidus externa
89,0.008696774163010573,7Networks_RH_Cont_PFCmp_3
86,0.00839135664744136,7Networks_RH_Cont_PFCl_4
95,0.008355272167835359,7Networks_RH_Default_PFCv_2
20,0.008104954698092788,7Networks_LH_DorsAttn_Post_5
101,0.007664260427943847,Left red nucleus
59,0.006697053767238587,7Networks_RH_SomMot_1
116,0.006696679832633949,Right thalamus
61,0.006439460767602219,7Networks_RH_SomMot_3
63,0.005888892897181594,7Networks_RH_SomMot_5
34,0.005726469777963749,7Networks_LH_Cont_Par_1
97,0.005652005617364107,7Networks_RH_Default_PFCm_2
60,0.005620372717853234,7Networks_RH_SomMot_2
115,0.005610927632676723,Left thalamus
29,0.005031362650278398,7Networks_LH_SalVentAttn_Med_2
21,0.004585602867039836,7Networks_LH_DorsAttn_Post_6
33,0.004499961002712847,7Networks_LH_Limbic_TempPole_2
46,0.004149177661497152,7Networks_LH_Default_PFC_5
92,0.004025590602950167,7Networks_RH_Default_Temp_2
88,0.004023890909679657,7Networks_RH_Cont_PFCmp_2
32,0.0037767726309468584,7Networks_LH_Limbic_TempPole_1
64,0.0037262385766259273,7Networks_RH_SomMot_6
50,0.0036813580473652814,7Networks_LH_Default_PCC_2
43,0.0035880238394888878,7Networks_LH_Default_PFC_2
81,0.0034135702551312394,7Networks_RH_Cont_Par_1
80,0.0033757897067705767,7Networks_RH_Limbic_TempPole_1
18,0.0032681900916665704,7Networks_LH_DorsAttn_Post_3
11,0.003208138858526689,7Networks_LH_SomMot_2
76,0.003207409278400019,7Networks_RH_SalVentAttn_FrOper_1
14,0.002427109917894696,7Networks_LH_SomMot_5
39,0.0023519053062929195,7Networks_LH_Default_Temp_2
27,0.0021067325485514665,7Networks_LH_SalVentAttn_PFCl_1
107,0.00206509607458544,Left caudate
70,0.0019359186999104573,7Networks_RH_DorsAttn_Post_4
47,0.0018293214272005207,7Networks_LH_Default_PFC_6
118,0.0017710021150292214,Right hippocampus
53,0.0017700873618757128,7Networks_RH_Vis_3
62,0.0017469517637381787,7Networks_RH_SomMot_4
35,0.0017110165517269743,7Networks_LH_Cont_PFCl_1
69,0.00167839863258742,7Networks_RH_DorsAttn_Post_3
15,0.0016457201431948451,7Networks_LH_SomMot_6
66,0.0015747517720937467,7Networks_RH_SomMot_8
71,0.001568813660012693,7Networks_RH_DorsAttn_Post_5
26,0.0015385992047928215,7Networks_LH_SalVentAttn_FrOper_2
52,0.001524600485271104,7Networks_RH_Vis_2
67,0.0014750695699129665,7Networks_RH_DorsAttn_Post_1
65,0.0013724231994095752,7Networks_RH_SomMot_7
12,0.0013554151040730872,7Networks_LH_SomMot_3
10,0.0012280756900477547,7Networks_LH_SomMot_1
106,0.0012059350715974055,Right subthalamic nucleus
56,0.0011743786218822707,7Networks_RH_Vis_6
77,0.0011445344346996008,7Networks_RH_SalVentAttn_Med_1
16,0.001132708431862936,7Networks_LH_DorsAttn_Post_1
37,0.0010340239758151928,7Networks_LH_Cont_Cing_1
99,0.0009221480123559864,7Networks_RH_Default_PCC_1
13,0.000897732471744968,7Networks_LH_SomMot_4
68,0.0008232019957258723,7Networks_RH_DorsAttn_Post_2
49,0.0006741885124909318,7Networks_LH_Default_PCC_1
105,0.0006471439107030042,Left subthalamic nucleus
122,0.0006185139207648978,Right amygdala
85,0.0006090522290851779,7Networks_RH_Cont_PFCl_3
58,0.0005295922817198159,7Networks_RH_Vis_8
38,0.0005287112475300979,7Networks_LH_Default_Temp_1
4,0.0004599567349143408,7Networks_LH_Vis_4
82,0.0004165852631744378,7Networks_RH_Cont_Par_2
55,0.0003806188356735663,7Networks_RH_Vis_5
22,0.00034072109392309764,7Networks_LH_DorsAttn_FEF_1
40,0.0003391250371477384,7Networks_LH_Default_Temp_3
42,0.0003199597593255793,7Networks_LH_Default_PFC_1
1,0.0002922826783714437,7Networks_LH_Vis_1
3,0.00024916139522575986,7Networks_LH_Vis_3
108,0.0002223158279595642,Right caudate
48,0.00021585279446078938,7Networks_LH_Default_PFC_7
73,0.00019752404745196364,7Networks_RH_DorsAttn_FEF_2
17,0.00017460369150475936,7Networks_LH_DorsAttn_Post_2
41,0.0001534045024255787,7Networks_LH_Default_Temp_4
74,0.00014957150099407515,7Networks_RH_SalVentAttn_TempOccPar_1
78,0.00014533209921314638,7Networks_RH_SalVentAttn_Med_2
91,0.0001350910857036558,7Networks_RH_Default_Temp_1
28,0.0001256252993879204,7Networks_LH_SalVentAttn_Med_1
23,0.00012243719264893327,7Networks_LH_DorsAttn_FEF_2
90,0.00010429454730340452,7Networks_RH_Default_Par_1
98,0.00010419598577510209,7Networks_RH_Default_PFCm_3
24,3.415303855936853e-05,7Networks_LH_SalVentAttn_ParOper_1
87,2.4348781046629236e-05,7Networks_RH_Cont_PFCmp_1
30,1.80022918915855e-05,7Networks_LH_SalVentAttn_Med_3
6,1.2777672141163929e-05,7Networks_LH_Vis_6
51,2.3848099342477832e-06,7Networks_RH_Vis_1
100,2.2881980685690195e-06,7Networks_RH_Default_PCC_2
7,2.098356188030425e-06,7Networks_LH_Vis_7
93,1.1213763446926503e-06,7Networks_RH_Default_Temp_3
