Sample,Cook's Distance
Right hippocampus R,0.3935850674623373
Right subthalamic nucleus R,0.14191521179486394
Right thalamus R,0.07966359585358053
Right nucleus accumbens R,0.030517781196937488
7Networks_RH_SalVentAttn_TempOccPar_2 R,0.029822736556263673
Right substantia nigra R,0.025508746479373692
Left substantia nigra L,0.024286486235956754
Left subthalamic nucleus L,0.023283236315331062
7Networks_LH_Vis_1 L,0.02242527197996361
Left nucleus accumbens L,0.021469242701715623
Left hippocampus L,0.02084571930052759
7Networks_LH_Default_PFC_5 L,0.019571173856342956
Left globus pallidus externa L,0.018814457860671898
7Networks_LH_Cont_Par_1 L,0.018334989702409345
7Networks_RH_Vis_4 R,0.016022340093074846
Left globus pallidus interna L,0.01580711883040689
7Networks_LH_Default_Temp_4 L,0.015703848035259954
7Networks_RH_DorsAttn_FEF_2 R,0.01561071693027127
Right globus pallidus interna R,0.015559443622131321
