id,values,labels
119,0.4241670233400062,Left nucleus accumbens
107,0.13344674407419482,Left caudate
117,0.07055248721436981,Left hippocampus
76,0.027967572408838983,7Networks_RH_SalVentAttn_FrOper_1
1,0.027519798500696028,7Networks_LH_Vis_1
121,0.027327694365347092,Left amygdala
105,0.02428845647956692,Left subthalamic nucleus
104,0.02293019747470058,Right substantia nigra
106,0.022527188077445724,Right subthalamic nucleus
2,0.020483391452266894,7Networks_LH_Vis_2
47,0.019199089812614416,7Networks_LH_Default_PFC_6
112,0.01914305377190982,Right globus pallidus externa
35,0.018026894959302205,7Networks_LH_Cont_PFCl_1
118,0.016740542337143765,Right hippocampus
114,0.01565003196853849,Right globus pallidus interna
42,0.015646149934466603,7Networks_LH_Default_PFC_1
74,0.015320419561557181,7Networks_RH_SalVentAttn_TempOccPar_1
55,0.014778967770404192,7Networks_RH_Vis_5
115,0.014558232331520395,Left thalamus
99,0.013489737962548222,7Networks_RH_Default_PCC_1
45,0.013347555036177348,7Networks_LH_Default_PFC_4
60,0.012755068551055166,7Networks_RH_SomMot_2
113,0.01216126848710777,Left globus pallidus interna
24,0.011326795933201027,7Networks_LH_SalVentAttn_ParOper_1
120,0.011016158059421383,Right nucleus accumbens
33,0.010331922691587067,7Networks_LH_Limbic_TempPole_2
56,0.009644928852238168,7Networks_RH_Vis_6
96,0.009642923568905075,7Networks_RH_Default_PFCm_1
43,0.008967824110014013,7Networks_LH_Default_PFC_2
37,0.00881787925848614,7Networks_LH_Cont_Cing_1
63,0.008714670388080723,7Networks_RH_SomMot_5
27,0.008423661935749718,7Networks_LH_SalVentAttn_PFCl_1
110,0.008421018168239031,Right putamen
22,0.00806219400527217,7Networks_LH_DorsAttn_FEF_1
102,0.00798314010169771,Right red nucleus
51,0.007958936169916836,7Networks_RH_Vis_1
64,0.007953412414588214,7Networks_RH_SomMot_6
70,0.006907113859696504,7Networks_RH_DorsAttn_Post_4
57,0.006675649423639543,7Networks_RH_Vis_7
5,0.006643574144047052,7Networks_LH_Vis_5
65,0.00617011454713462,7Networks_RH_SomMot_7
46,0.005694065184095143,7Networks_LH_Default_PFC_5
54,0.0056315674319603335,7Networks_RH_Vis_4
95,0.0053266859086314325,7Networks_RH_Default_PFCv_2
17,0.00519201646934323,7Networks_LH_DorsAttn_Post_2
109,0.005102486461678929,Left putamen
26,0.004627031426695526,7Networks_LH_SalVentAttn_FrOper_2
21,0.004607496330880948,7Networks_LH_DorsAttn_Post_6
12,0.00460583874268259,7Networks_LH_SomMot_3
84,0.004552843891638739,7Networks_RH_Cont_PFCl_2
14,0.004380122857370678,7Networks_LH_SomMot_5
61,0.004374940410555036,7Networks_RH_SomMot_3
44,0.004018349985703892,7Networks_LH_Default_PFC_3
75,0.0037846004661055217,7Networks_RH_SalVentAttn_TempOccPar_2
59,0.003661549106358193,7Networks_RH_SomMot_1
90,0.0036463916060858,7Networks_RH_Default_Par_1
87,0.003614799297165156,7Networks_RH_Cont_PFCmp_1
31,0.003377545933034236,7Networks_LH_Limbic_OFC_1
3,0.0032158005939064743,7Networks_LH_Vis_3
122,0.003003118014167605,Right amygdala
48,0.002941473834605175,7Networks_LH_Default_PFC_7
77,0.0028928179889873037,7Networks_RH_SalVentAttn_Med_1
89,0.00286696192078638,7Networks_RH_Cont_PFCmp_3
72,0.002686164701520026,7Networks_RH_DorsAttn_FEF_1
88,0.0025249456062156664,7Networks_RH_Cont_PFCmp_2
66,0.0023814553496074287,7Networks_RH_SomMot_8
116,0.002372010692948179,Right thalamus
98,0.002305485801350155,7Networks_RH_Default_PFCm_3
81,0.0022049807690435195,7Networks_RH_Cont_Par_1
40,0.0021441745856399753,7Networks_LH_Default_Temp_3
11,0.002129803489532636,7Networks_LH_SomMot_2
16,0.0019394734727707624,7Networks_LH_DorsAttn_Post_1
78,0.0018839163373503235,7Networks_RH_SalVentAttn_Med_2
101,0.0017932860262234959,Left red nucleus
97,0.0017783251252739883,7Networks_RH_Default_PFCm_2
68,0.0017637504503509253,7Networks_RH_DorsAttn_Post_2
25,0.0017244202727998172,7Networks_LH_SalVentAttn_FrOper_1
8,0.001663356490501411,7Networks_LH_Vis_8
19,0.0016314602138972803,7Networks_LH_DorsAttn_Post_4
50,0.0013339909505563268,7Networks_LH_Default_PCC_2
